file,line_number,encoded_length,tagged_length,encoded_line,tagged_line
AskAboutResearch.csv,763,6,5,បង្ហាញ ខ្ញុំ CADT/B-ORG Research លើ ?,បង្ហាញ/verb ខ្ញុំ/pron CADTResearch/noun លើ/adp ?/punct
AskAboutResearch.csv,1019,5,4,ប្រាប់ CADT/B-ORG Research លើ ?,ប្រាប់/verb CADTResearch/noun លើ/adp ?/punct
AskAboutResearch.csv,1067,6,5,ប្រាប់ ខ្ញុំ CADT/B-ORG Research លើ ?,ប្រាប់/verb ខ្ញុំ/pron CADTResearch/noun លើ/adp ?/punct
AskAboutResearcher.csv,1,9,8,តើ លោក/B-PER គ្រូ/I-PER លីហៀង/I-PER គាត់ ស្រាវជ្រាវ លើ អ្វី ?,តើ/prt លោក/noun គ្រូហៀង/noun គាត់/pron ស្រាវជ្រាវ/verb លើ/adp អ្វី/noun ?/punct
AskAboutResearcher.csv,2,10,9,តើ លោក/B-PER គ្រូ/I-PER លីហៀង/I-PER គាត់ សិក្សា ស្រាវជ្រាវ លើ អ្វី ?,តើ/prt លោក/noun គ្រូហៀង/noun គាត់/pron សិក្សា/verb ស្រាវជ្រាវ/verb លើ/adp អ្វី/noun ?/punct
AskAboutResearcher.csv,3,10,9,តើ លោក/B-PER គ្រូ/I-PER លីហៀង/I-PER គាត់ កំពុង ស្រាវជ្រាវ លើ អ្វី ?,តើ/prt លោក/noun គ្រូហៀង/noun គាត់/pron កំពុង/verb ស្រាវជ្រាវ/verb លើ/adp អ្វី/noun ?/punct
AskAboutResearcher.csv,4,8,7,ចុះ លោក/B-PER គ្រូ/I-PER លីហៀង/I-PER Research លើ អ្វី ?,ចុះ/verb លោក/noun គ្រូហៀង/noun Research/noun លើ/adp អ្វី/noun ?/punct
AskAboutResearcher.csv,5,7,6,ចុះ លោក/B-PER គ្រូ/I-PER លីហៀង/I-PER Research អ្វី ?,ចុះ/verb លោក/noun គ្រូហៀង/noun Research/noun អ្វី/noun ?/punct
AskAboutResearcher.csv,6,8,7,ចុះ លោក/B-PER គ្រូ/I-PER លីហៀង/I-PER Research អ្វី ខ្លះ ?,ចុះ/verb លោក/noun គ្រូហៀង/noun Research/noun អ្វី/noun ខ្លះ/adj ?/punct
AskAboutResearcher.csv,7,9,8,ចុះ លោក/B-PER គ្រូ/I-PER លីហៀង/I-PER កំពុង Research លើ អ្វី ?,ចុះ/verb លោក/noun គ្រូហៀង/noun កំពុង/verb Research/noun លើ/adp អ្វី/noun ?/punct
